#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: http://w3id.org/lambda/rocrate/core
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-09-09
#curie_map: 
# lambda: http://w3id.org/lambda/
# lambdarc: http://w3id.org/lambda/rocrate/
# linkml: https://w3id.org/linkml/
# sdo: http://schema.org/
# dcterms: http://purl.org/dc/terms/
# prov: http://www.w3.org/ns/prov#
# lambdax: https://lambda-ber.github.io/lambda-ber-schema/profile/saxs/0.4.0/terms/
# prof: http://www.w3.org/ns/dx/prof/
# rocrate: https://w3id.org/ro/crate/
# ORCID: https://orcid.org/
# ROR: https://ror.org/
# uniprot: http://purl.uniprot.org/uniprot/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
lambda:ExperimentalMethodEnum#x_ray_diffraction	x_ray_diffraction	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						ExperimentalMethodEnum			
lambda:FacilityEnum#NSLS_II	NSLS_II	skos:exactMatch		ROR:01q47ea17		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#ALS	ALS	skos:exactMatch		ROR:02jbv0t02		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SSRL	SSRL	skos:exactMatch		ROR:05gzmn429		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#ESRF	ESRF	skos:exactMatch		ROR:02550n020		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#DIAMOND	DIAMOND	skos:exactMatch		ROR:05etxs293		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#PHOTON_FACTORY	PHOTON_FACTORY	skos:exactMatch		ROR:01g5y5k24		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#APS	APS	skos:exactMatch		ROR:05gvnxz63		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SPRING8	SPRING8	skos:exactMatch		ROR:01xjv7358		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#PETRA_III	PETRA_III	skos:exactMatch		ROR:01js2sh04		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SOLEIL	SOLEIL	skos:exactMatch		ROR:01ydb3330		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#AUSTRALIAN_SYNCHROTRON	AUSTRALIAN_SYNCHROTRON	skos:exactMatch		ROR:03vk18a84		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#EMSL	EMSL	skos:exactMatch		ROR:05h992307		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SNS	SNS	skos:exactMatch		ROR:01qz5mb56		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#HFIR	HFIR	skos:exactMatch		ROR:01qz5mb56		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:InstrumentCategoryEnum#SYNCHROTRON_BEAMLINE	SYNCHROTRON_BEAMLINE	skos:exactMatch		CHMO:0001084		skos:exactMatch	http://w3id.org/lambda/						InstrumentCategoryEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#acetylation	acetylation	skos:exactMatch		GO:0006473		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#acylation	acylation	skos:exactMatch		GO:0043543		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#alkylation	alkylation	skos:exactMatch		GO:0008213		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#arginylation	arginylation	skos:exactMatch		GO:0016598		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#carbamoylation	carbamoylation	skos:exactMatch		GO:0046944		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#carboxylation	carboxylation	skos:exactMatch		GO:0018214		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deacylation	deacylation	skos:exactMatch		GO:0035601		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#dealkylation	dealkylation	skos:exactMatch		GO:0008214		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deamination	deamination	skos:exactMatch		GO:0018277		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deglutathionylation	deglutathionylation	skos:exactMatch		GO:0080058		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deglycation	deglycation	skos:exactMatch		GO:0036525		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deglycosylation	deglycosylation	skos:exactMatch		GO:0006517		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#dephosphorylation	dephosphorylation	skos:exactMatch		GO:0006470		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#flavinylation	flavinylation	skos:exactMatch		GO:0017013		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#glutathionylation	glutathionylation	skos:exactMatch		GO:0010731		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#hydroxylation	hydroxylation	skos:exactMatch		GO:0018126		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#lipidation	lipidation	skos:exactMatch		GO:0006497		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#methylation	methylation	skos:exactMatch		GO:0006479		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#myristoylation	myristoylation	skos:exactMatch		GO:0018377		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#nitrosylation	nitrosylation	skos:exactMatch		GO:0017014		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#oxidation	oxidation	skos:exactMatch		GO:0018158		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#palmitoylation	palmitoylation	skos:exactMatch		GO:0018345		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#peptidyl_amino_acid_modification	peptidyl_amino_acid_modification	skos:exactMatch		GO:0018193		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#phosphorylation	phosphorylation	skos:exactMatch		GO:0006468		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#post_translational_protein_modification	post_translational_protein_modification	skos:exactMatch		GO:0043687		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#prenylation	prenylation	skos:exactMatch		GO:0018342		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#proteolysis	proteolysis	skos:exactMatch		GO:0006508		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#sulfation	sulfation	skos:exactMatch		GO:0006477		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#sulfhydration	sulfhydration	skos:exactMatch		GO:0044524		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#sumoylation	sumoylation	skos:exactMatch		GO:0016925		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#ubiquitination	ubiquitination	skos:exactMatch		GO:0016567		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
lambda:TechniqueEnum#cryo_em	cryo_em	skos:exactMatch		CHMO:0002413		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xray_crystallography	xray_crystallography	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#saxs	saxs	skos:exactMatch		CHMO:0000204		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#waxs	waxs	skos:exactMatch		CHMO:0000207		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#sans	sans	skos:exactMatch		CHMO:0000184		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#cryo_et	cryo_et	skos:exactMatch		CHMO:0002413		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#electron_microscopy	electron_microscopy	skos:exactMatch		CHMO:0000068		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#mass_spectrometry	mass_spectrometry	skos:exactMatch		CHMO:0000470		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xas	xas	skos:exactMatch		CHMO:0000298		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xanes	xanes	skos:exactMatch		CHMO:0000305		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#exafs	exafs	skos:exactMatch		CHMO:0000300		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#neutron_crystallography	neutron_crystallography	skos:exactMatch		CHMO:0000182		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#fiber_diffraction	fiber_diffraction	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#time_resolved_crystallography	time_resolved_crystallography	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xray_tomography	xray_tomography	skos:exactMatch		CHMO:0002743		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:acronym	acronym	skos:exactMatch		lambda:acronym		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:additionalType	additional_type	skos:closeMatch		lambda:data_type		skos:closeMatch	http://w3id.org/lambda/rocrate/core									
lambdarc:admissibility	admissibility	skos:closeMatch		lambdax:admissibility		skos:closeMatch	http://w3id.org/lambda/rocrate/core									
sdo:affiliation	affiliation	skos:exactMatch		lambda:affiliation		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:affiliation_ror	affiliation_ror	skos:exactMatch		lambda:affiliation_ror		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:author_position	author_position	skos:exactMatch		lambda:author_position		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:award_number	award_number	skos:exactMatch		lambda:award_number		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:xbeam	beamCenterPixels__xbeam	skos:exactMatch		nsls2:Beam_xy_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:xbeam	beamCenterPixels__xbeam	skos:exactMatch		imgCIF:_diffrn_detector.beam_center_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:xbeam	beamCenterPixels__xbeam	skos:exactMatch		mmCIF:_diffrn_detector.beam_center_x		skos:exactMatch	http://w3id.org/lambda/									
lambda:xbeam	beamCenterPixels__xbeam	skos:exactMatch		ispyb:DataCollection.xBeam		skos:exactMatch	http://w3id.org/lambda/									
lambda:ybeam	beamCenterPixels__ybeam	skos:exactMatch		nsls2:Beam_xy_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:ybeam	beamCenterPixels__ybeam	skos:exactMatch		imgCIF:_diffrn_detector.beam_center_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:ybeam	beamCenterPixels__ybeam	skos:exactMatch		mmCIF:_diffrn_detector.beam_center_y		skos:exactMatch	http://w3id.org/lambda/									
lambda:ybeam	beamCenterPixels__ybeam	skos:exactMatch		ispyb:DataCollection.yBeam		skos:exactMatch	http://w3id.org/lambda/									
lambda:beamline_id	beamline_id	skos:exactMatch		lambda:beamline_id		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambdarc:collectionDate	collection_date	skos:closeMatch		lambda:experiment_date		skos:closeMatch	http://w3id.org/lambda/rocrate/core									
lambda:collection_mode	collection_mode	skos:exactMatch		lambda:collection_mode		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:concentration	concentration	skos:exactMatch		lambda:concentration		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:contentSize	content_size	skos:exactMatch		lambda:file_size_bytes		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:corresponding	corresponding	skos:exactMatch		lambda:corresponding		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:country	country	skos:exactMatch		lambda:country		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:name	CrateDatasetPart_name	skos:exactMatch		lambda:title		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:contentSize	CrateFile_content_size	skos:exactMatch		lambda:file_size_bytes		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:encodingFormat	CrateFile_encoding_format	skos:closeMatch		lambda:file_format		skos:closeMatch	http://w3id.org/lambda/rocrate/core									
sdo:name	CrateFile_name	skos:exactMatch		lambda:title		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:sha256	CrateFile_sha256	skos:closeMatch		lambda:sha256		skos:closeMatch	http://w3id.org/lambda/rocrate/core									
sdo:sha256	CrateFile_sha256	skos:exactMatch		lambda:checksum		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:description	CrateRoot_description	skos:exactMatch		lambda:description		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
sdo:name	CrateRoot_name	skos:exactMatch		lambda:title		skos:exactMatch	http://w3id.org/lambda/rocrate/core									
lambda:accelerating_voltage	cryoEMInstrument__accelerating_voltage	skos:exactMatch		mmCIF:_em_imaging.accelerating_voltage		skos:exactMatch	http://w3id.org/lambda/									
lambda:c2_aperture	cryoEMInstrument__c2_aperture	skos:exactMatch		mmCIF:_em_imaging.c2_aperture_diameter		skos:exactMatch	http://w3id.org/lambda/									
lambda:cs	cryoEMInstrument__cs	skos:exactMatch		mmCIF:_em_imaging.nominal_cs		skos:exactMatch	http://w3id.org/lambda/									
lambda:cs_corrector	cryoEMInstrument__cs_corrector	skos:exactMatch		mmCIF:_em_imaging.alignment_procedure		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_mode	cryoEMInstrument__detector_mode	skos:exactMatch		mmCIF:_em_image_recording.detector_mode		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_model	cryoEMInstrument__detector_model	skos:exactMatch		mmCIF:_em_image_recording.film_or_detector_model		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_technology	cryoEMInstrument__detector_technology	skos:exactMatch		mmCIF:_em_image_recording.film_or_detector_model		skos:exactMatch	http://w3id.org/lambda/									
