#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_set_id: http://w3id.org/lambda/
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-03-12
#curie_map: 
# lambda: http://w3id.org/lambda/
# lambdaber: http://w3id.org/lambda/
# linkml: https://w3id.org/linkml/
# dcterms: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# prov: http://www.w3.org/ns/prov#
# sio: http://semanticscience.org/resource/
# nmdc: https://w3id.org/nmdc/
# NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
# UBERON: http://purl.obolibrary.org/obo/UBERON_
# CL: http://purl.obolibrary.org/obo/CL_
# GO: http://purl.obolibrary.org/obo/GO_
# nsls2: https://github.com/NSLS2/BER-LAMBDA/
# imgCIF: https://github.com/dials/cbflib/blob/main/doc/cif_img_1.8.6.dic#
# mmCIF: http://mmcif.wwpdb.org/dictionaries/mmcif_pdbx_v50.dic/Items/
# ROR: https://ror.org/
# wikidata: http://www.wikidata.org/entity/
# CHMO: http://purl.obolibrary.org/obo/CHMO_
# pdb: https://www.rcsb.org/structure/
# sasbdb: https://www.sasbdb.org/data/
# simplescattering: https://www.simplescattering.com/open_dataset/
# ispyb: https://ispyb.github.io/ISPyB/
# PaNET: http://purl.org/pan-science/PaNET/PaNET
# UO: http://purl.obolibrary.org/obo/UO_
# emsl: https://api.emsl.pnnl.gov/external/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
lambda:ExperimentalMethodEnum#x_ray_diffraction	x_ray_diffraction	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						ExperimentalMethodEnum			
lambda:FacilityEnum#NSLS_II	NSLS_II	skos:exactMatch		ROR:01q47ea17		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#ALS	ALS	skos:exactMatch		ROR:02jbv0t02		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SSRL	SSRL	skos:exactMatch		ROR:05gzmn429		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#ESRF	ESRF	skos:exactMatch		ROR:02550n020		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#DIAMOND	DIAMOND	skos:exactMatch		ROR:05etxs293		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#PHOTON_FACTORY	PHOTON_FACTORY	skos:exactMatch		ROR:01g5y5k24		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#APS	APS	skos:exactMatch		ROR:05gvnxz63		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SPRING8	SPRING8	skos:exactMatch		ROR:01xjv7358		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#PETRA_III	PETRA_III	skos:exactMatch		ROR:01js2sh04		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SOLEIL	SOLEIL	skos:exactMatch		ROR:01ydb3330		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#AUSTRALIAN_SYNCHROTRON	AUSTRALIAN_SYNCHROTRON	skos:exactMatch		ROR:03vk18a84		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#EMSL	EMSL	skos:exactMatch		ROR:05h992307		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#SNS	SNS	skos:exactMatch		ROR:01qz5mb56		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:FacilityEnum#HFIR	HFIR	skos:exactMatch		ROR:01qz5mb56		skos:exactMatch	http://w3id.org/lambda/						FacilityEnum			
lambda:InstrumentCategoryEnum#SYNCHROTRON_BEAMLINE	SYNCHROTRON_BEAMLINE	skos:exactMatch		CHMO:0001084		skos:exactMatch	http://w3id.org/lambda/						InstrumentCategoryEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#acetylation	acetylation	skos:exactMatch		GO:0006473		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#acylation	acylation	skos:exactMatch		GO:0043543		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#alkylation	alkylation	skos:exactMatch		GO:0008213		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#arginylation	arginylation	skos:exactMatch		GO:0016598		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#carbamoylation	carbamoylation	skos:exactMatch		GO:0046944		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#carboxylation	carboxylation	skos:exactMatch		GO:0018214		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deacylation	deacylation	skos:exactMatch		GO:0035601		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#dealkylation	dealkylation	skos:exactMatch		GO:0008214		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deamination	deamination	skos:exactMatch		GO:0018277		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deglutathionylation	deglutathionylation	skos:exactMatch		GO:0080058		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deglycation	deglycation	skos:exactMatch		GO:0036525		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#deglycosylation	deglycosylation	skos:exactMatch		GO:0006517		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#dephosphorylation	dephosphorylation	skos:exactMatch		GO:0006470		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#flavinylation	flavinylation	skos:exactMatch		GO:0017013		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#glutathionylation	glutathionylation	skos:exactMatch		GO:0010731		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#hydroxylation	hydroxylation	skos:exactMatch		GO:0018126		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#lipidation	lipidation	skos:exactMatch		GO:0006497		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#methylation	methylation	skos:exactMatch		GO:0006479		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#myristoylation	myristoylation	skos:exactMatch		GO:0018377		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#nitrosylation	nitrosylation	skos:exactMatch		GO:0017014		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#oxidation	oxidation	skos:exactMatch		GO:0018158		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#palmitoylation	palmitoylation	skos:exactMatch		GO:0018345		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#peptidyl_amino_acid_modification	peptidyl_amino_acid_modification	skos:exactMatch		GO:0018193		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#phosphorylation	phosphorylation	skos:exactMatch		GO:0006468		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#post_translational_protein_modification	post_translational_protein_modification	skos:exactMatch		GO:0043687		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#prenylation	prenylation	skos:exactMatch		GO:0018342		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#proteolysis	proteolysis	skos:exactMatch		GO:0006508		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#sulfation	sulfation	skos:exactMatch		GO:0006477		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#sulfhydration	sulfhydration	skos:exactMatch		GO:0044524		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#sumoylation	sumoylation	skos:exactMatch		GO:0016925		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
http://w3id.org/lambda/functional_annotation/:PTMTypeEnum#ubiquitination	ubiquitination	skos:exactMatch		GO:0016567		skos:exactMatch	http://w3id.org/lambda/functional_annotation						PTMTypeEnum			
lambda:TechniqueEnum#cryo_em	cryo_em	skos:exactMatch		CHMO:0002413		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xray_crystallography	xray_crystallography	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#saxs	saxs	skos:exactMatch		CHMO:0000204		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#waxs	waxs	skos:exactMatch		CHMO:0000207		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#sans	sans	skos:exactMatch		CHMO:0000184		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#cryo_et	cryo_et	skos:exactMatch		CHMO:0002413		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#electron_microscopy	electron_microscopy	skos:exactMatch		CHMO:0000068		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#mass_spectrometry	mass_spectrometry	skos:exactMatch		CHMO:0000470		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xas	xas	skos:exactMatch		CHMO:0000298		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xanes	xanes	skos:exactMatch		CHMO:0000305		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#exafs	exafs	skos:exactMatch		CHMO:0000300		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#neutron_crystallography	neutron_crystallography	skos:exactMatch		CHMO:0000182		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#fiber_diffraction	fiber_diffraction	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#time_resolved_crystallography	time_resolved_crystallography	skos:exactMatch		CHMO:0000156		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:TechniqueEnum#xray_tomography	xray_tomography	skos:exactMatch		CHMO:0002743		skos:exactMatch	http://w3id.org/lambda/						TechniqueEnum			
lambda:accelerating_voltage	cryoEMInstrument__accelerating_voltage	skos:exactMatch		mmCIF:_em_imaging.accelerating_voltage		skos:exactMatch	http://w3id.org/lambda/									
lambda:c2_aperture	cryoEMInstrument__c2_aperture	skos:exactMatch		mmCIF:_em_imaging.c2_aperture_diameter		skos:exactMatch	http://w3id.org/lambda/									
lambda:cs	cryoEMInstrument__cs	skos:exactMatch		mmCIF:_em_imaging.nominal_cs		skos:exactMatch	http://w3id.org/lambda/									
lambda:cs_corrector	cryoEMInstrument__cs_corrector	skos:exactMatch		mmCIF:_em_imaging.alignment_procedure		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_mode	cryoEMInstrument__detector_mode	skos:exactMatch		mmCIF:_em_image_recording.detector_mode		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_model	cryoEMInstrument__detector_model	skos:exactMatch		mmCIF:_em_image_recording.film_or_detector_model		skos:exactMatch	http://w3id.org/lambda/									
lambda:detector_technology	cryoEMInstrument__detector_technology	skos:exactMatch		mmCIF:_em_image_recording.film_or_detector_model		skos:exactMatch	http://w3id.org/lambda/									
lambda:energy_filter_slit_width	cryoEMInstrument__energy_filter_slit_width	skos:exactMatch		mmCIF:_em_imaging.energy_filter_slit_width		skos:exactMatch	http://w3id.org/lambda/									
lambda:imaging_mode	cryoEMInstrument__imaging_mode	skos:exactMatch		mmCIF:_em_imaging.mode		skos:exactMatch	http://w3id.org/lambda/									
lambda:spotsize	cryoEMInstrument__spotsize	skos:exactMatch		mmCIF:_em_imaging.detector_spot_size		skos:exactMatch	http://w3id.org/lambda/									
lambda:blot_time	cryoEMPreparation__blot_time	skos:exactMatch		mmCIF:_em_vitrification.time_resolved_state		skos:exactMatch	http://w3id.org/lambda/									
lambda:chamber_temperature	cryoEMPreparation__chamber_temperature	skos:exactMatch		mmCIF:_em_vitrification.chamber_temperature		skos:exactMatch	http://w3id.org/lambda/									
lambda:ethane_temperature	cryoEMPreparation__ethane_temperature	skos:exactMatch		mmCIF:_em_vitrification.cryogen_name		skos:exactMatch	http://w3id.org/lambda/									
lambda:glow_discharge_applied	cryoEMPreparation__glow_discharge_applied	skos:exactMatch		mmCIF:_em_sample_support.pretreatment_type		skos:exactMatch	http://w3id.org/lambda/									
lambda:glow_discharge_atmosphere	cryoEMPreparation__glow_discharge_atmosphere	skos:exactMatch		mmCIF:_em_sample_support.pretreatment_atmosphere		skos:exactMatch	http://w3id.org/lambda/									
lambda:glow_discharge_pressure	cryoEMPreparation__glow_discharge_pressure	skos:exactMatch		mmCIF:_em_sample_support.pretreatment_pressure		skos:exactMatch	http://w3id.org/lambda/									
lambda:glow_discharge_time	cryoEMPreparation__glow_discharge_time	skos:exactMatch		mmCIF:_em_sample_support.pretreatment_time		skos:exactMatch	http://w3id.org/lambda/									
lambda:grid_material	cryoEMPreparation__grid_material	skos:exactMatch		mmCIF:_em_sample_support.grid_material		skos:exactMatch	http://w3id.org/lambda/									
lambda:grid_type	cryoEMPreparation__grid_type	skos:exactMatch		mmCIF:_em_sample_support.grid_type		skos:exactMatch	http://w3id.org/lambda/									
lambda:humidity_percentage	cryoEMPreparation__humidity_percentage	skos:exactMatch		mmCIF:_em_vitrification.chamber_humidity		skos:exactMatch	http://w3id.org/lambda/									
lambda:support_film	cryoEMPreparation__support_film	skos:exactMatch		mmCIF:_em_sample_support.grid_support_film		skos:exactMatch	http://w3id.org/lambda/									
lambda:vitrification_instrument	cryoEMPreparation__vitrification_instrument	skos:exactMatch		mmCIF:_em_vitrification.instrument		skos:exactMatch	http://w3id.org/lambda/									
lambda:vitrification_method	cryoEMPreparation__vitrification_method	skos:exactMatch		mmCIF:_em_vitrification.method		skos:exactMatch	http://w3id.org/lambda/									
lambda:cryo_protectant	crystallizationConditions__cryo_protectant	skos:exactMatch		nsls2:Cryo_Protectant		skos:exactMatch	http://w3id.org/lambda/									
lambda:crystal_id	crystallizationConditions__crystal_id	skos:exactMatch		nsls2:Crystal_ID		skos:exactMatch	http://w3id.org/lambda/									
lambda:crystal_size_um	crystallizationConditions__crystal_size_um	skos:exactMatch		nsls2:Crystal_Size		skos:exactMatch	http://w3id.org/lambda/									
